Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
ABLIM3	"Actin binding LIM protein family member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 112.9"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 178.0;Cardiomyocytes: 69.1;Hepatocytes: 94.1;Oligodendrocyte precursor cells: 59.9"	"Low region specificity"	"Detected in all"			0.18	20.4	0.4	29.9	32.3	20.6	59.9	23.8	11.8
ABR	"ABR activator of RhoGEF and GTPase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 113.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 162.9;Late spermatids: 159.3;Microglial cells: 139.6"	"Low region specificity"	"Detected in all"			0.10	162.9	14.3	77.8	64.8	139.6	39.1	4.8	13.4
ABRACL	"ABRA C-terminal like"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 366.4;Proximal tubular cells: 417.3"	"Low region specificity"	"Detected in all"			0.20	1.9	131.5	12.3	8.7	5.4	0.9	0.9	65.1
ABRAXAS1	"Abraxas 1, BRCA1 A complex subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 92.3;Spermatocytes: 108.3;Spermatogonia: 87.5"	"Low region specificity"	"Detected in all"			0.15	4.3	7.0	3.8	3.9	5.4	4.7	6.5	13.6
ABRAXAS2	"Abraxas 2, BRISC complex subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	7.7	10.8	18.3	16.1	8.9	11.3	12.0	15.1
ABT1	"Activator of basal transcription 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 110.5"	"Low region specificity"	"Detected in all"			0.13	3.1	31.8	4.3	4.1	2.7	3.3	4.2	12.3
ABTB1	"Ankyrin repeat and BTB domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.11	10.2	10.3	25.2	11.6	17.9	6.1	11.9	25.7
ABTB2	"Ankyrin repeat and BTB domain containing 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 21.9"	"Cell type enhanced"	"Detected in many"		"Oligodendrocyte precursor cells: 47.2;Oligodendrocytes: 117.4;Syncytiotrophoblasts: 33.0"	"Low region specificity"	"Detected in all"			0.20	18.0	4.6	3.8	8.6	6.3	47.2	117.4	2.7
ABTB3	"Ankyrin repeat and BTB domain containing 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 28.5;parathyroid gland: 96.9"	"Cell type enriched"	"Detected in many"	5	"Inhibitory neurons: 257.0"	"Low region specificity"	"Detected in all"			0.22	16.4	0.8	8.4	257.0	0.9	11.8	1.8	0.0
ACAA1	"Acetyl-CoA acyltransferase 1"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"kidney: 204.7;liver: 638.8"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 388.0;Hepatocytes: 782.2;Proximal enterocytes: 422.5;Proximal tubular cells: 523.2"	"Low region specificity"	"Detected in all"			0.06	48.0	57.2	24.8	23.7	13.4	11.8	28.8	58.9
ACAA2	"Acetyl-CoA acyltransferase 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 981.1"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 387.5;Hepatocytes: 954.2;Proximal tubular cells: 586.9"	"Low region specificity"	"Detected in all"			0.07	11.1	21.3	1.6	4.5	12.5	4.2	8.0	28.4
ACACA	"Acetyl-CoA carboxylase alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 131.0;Excitatory neurons: 223.0;Inhibitory neurons: 189.4;Oligodendrocyte precursor cells: 169.8;Oligodendrocytes: 173.9"	"Low region specificity"	"Detected in all"			0.10	131.0	6.8	223.0	189.4	55.5	169.8	173.9	16.0
ACAD9	"Acyl-CoA dehydrogenase family member 9"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	12.4	10.2	13.8	17.0	7.2	5.7	11.4	13.3
ACADM	"Acyl-CoA dehydrogenase medium chain"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 356.4;skeletal muscle: 367.9;tongue: 458.9"	"Group enriched"	"Detected in all"	4	"Cardiomyocytes: 632.8;Distal tubular cells: 233.6;Hepatocytes: 279.0;Proximal tubular cells: 524.7"	"Low region specificity"	"Detected in many"			0.46	28.2	54.8	49.9	44.8	18.8	34.0	33.5	27.0
ACADS	"Acyl-CoA dehydrogenase short chain"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 239.5;skeletal muscle: 152.6"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 338.4;Hepatocytes: 197.4;Proximal enterocytes: 428.7;Undifferentiated cells: 136.6"	"Low region specificity"	"Detected in all"			0.10	9.6	7.5	2.3	2.7	0.0	2.8	3.4	16.1
ACADSB	"Acyl-CoA dehydrogenase short/branched chain"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"liver: 349.2"	"Cell type enriched"	"Detected in many"	4	"Hepatocytes: 468.7"	"Low region specificity"	"Detected in all"			0.09	27.9	3.4	38.5	47.6	11.6	14.6	35.7	27.6
ACADVL	"Acyl-CoA dehydrogenase very long chain"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 820.0"	"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 722.0"	"Low region specificity"	"Detected in all"			0.17	135.9	83.3	39.6	32.0	33.1	21.7	22.8	95.5
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 40.5;intestine: 42.1;lymphoid tissue: 93.7"	"Cell type enriched"	"Detected in many"	10	"Late spermatids: 3006.0"	"Low region specificity"	"Detected in some"			0.35	1.5	89.9	0.3	1.8	2.7	0.5	0.9	18.1
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	98.5	96.2	136.4	137.2	136.9	124.5	121.1	88.1
ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 144.9"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 137.3;Horizontal cells: 102.6;Rod photoreceptor cells: 212.8"	"Low region specificity"	"Detected in all"			0.15	19.5	9.1	46.6	30.3	14.3	75.9	41.3	10.5
ACAT1	"Acetyl-CoA acetyltransferase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 599.8;liver: 939.5"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 814.6;Distal tubular cells: 556.3;Hepatocytes: 776.1;Proximal tubular cells: 1447.9"	"Region enriched"	"Detected in all"	4	"choroid plexus: 124.0"	0.32	17.0	23.7	33.9	36.2	28.6	21.2	24.7	38.9
ACAT2	"Acetyl-CoA acetyltransferase 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	5	"liver: 224.4"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 206.8;Basal respiratory cells: 265.8;Hepatocytes: 225.1"	"Low region specificity"	"Detected in all"			0.19	14.6	18.3	13.9	14.1	0.9	12.3	16.3	30.9
ACBD3	"Acyl-CoA binding domain containing 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	13.3	50.5	28.8	30.0	19.7	25.9	27.2	45.4
ACBD4	"Acyl-CoA binding domain containing 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 90.7"	"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 54.7"	"Low region specificity"	"Detected in all"			0.04	11.8	4.0	7.0	8.1	2.7	4.2	1.8	3.1
ACBD5	"Acyl-CoA binding domain containing 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 155.1"	"Low region specificity"	"Detected in all"			0.04	17.0	23.2	19.9	25.8	15.2	16.5	23.1	31.2
ACBD6	"Acyl-CoA binding domain containing 6"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	57.3	35.3	120.7	113.2	58.2	92.0	101.7	25.2
ACBD7	"Acyl-CoA binding domain containing 7"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 39.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 26.6;Ciliated cells: 8.3;Early spermatids: 7.9;Serous glandular cells: 5.8;Spermatocytes: 7.9"	"Low region specificity"	"Detected in all"			0.06	26.6	0.0	0.3	0.3	0.9	1.4	0.1	0.4
ACCS	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.34	11.1	3.8	3.3	3.2	5.4	4.2	6.1	7.6
ACCSL	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 1.9;Excitatory neurons: 2.5;Inhibitory neurons: 2.6;Oligodendrocyte precursor cells: 2.4;Oligodendrocytes: 1.7"	"Not detected"	"Not detected"			"Not detected"	1.9	0.0	2.5	2.6	0.0	2.4	1.7	0.0
ACD	"ACD shelterin complex subunit and telomerase recruitment factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 62.0;Late spermatids: 67.2;Oocytes: 64.7"	"Low region specificity"	"Detected in all"			0.06	5.3	10.7	6.0	5.8	4.5	3.8	3.3	11.9
ACE	"Angiotensin I converting enzyme"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 257.7;testis: 99.0"	"Group enriched"	"Detected in many"	20	"Early spermatids: 373.5;Late spermatids: 1317.0;Proximal enterocytes: 1039.2"	"Low region specificity"	"Detected in all"			0.50	0.0	0.0	4.5	1.7	4.5	0.9	0.2	2.9
ACHE	"Acetylcholinesterase (Cartwright blood group)"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"brain: 104.5;skeletal muscle: 157.4;tongue: 46.2"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 35.1;Erythroid cells: 33.0;Exocrine glandular cells: 63.2;Horizontal cells: 59.2;Paneth cells: 39.8;Proximal enterocytes: 39.3;Skeletal myocytes: 80.0"	"Low region specificity"	"Detected in all"			0.23	3.1	0.0	4.5	9.2	0.9	8.0	0.8	0.0
ACIN1	"Apoptotic chromatin condensation inducer 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	42.1	57.5	39.6	41.7	42.0	42.9	61.1	54.7
ACKR2	"Atypical chemokine receptor 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 9.1;placenta: 15.4"	"Group enriched"	"Detected in many"	7	"Cytotrophoblasts: 33.3;Extravillous trophoblasts: 117.3;Lymphatic endothelial cells: 37.3;Syncytiotrophoblasts: 78.0"	"Low region specificity"	"Detected in all"			0.05	9.3	0.0	1.9	1.1	5.4	0.9	4.2	0.0
ACKR3	"Atypical chemokine receptor 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 167.3;Lymphatic endothelial cells: 152.7;monocytes: 47.5;Smooth muscle cells: 61.3"	"Low region specificity"	"Detected in all"			0.18	19.5	0.8	0.7	2.2	11.6	0.9	0.1	22.1
ACKR4	"Atypical chemokine receptor 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 15.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 17.0;Ciliated cells: 12.9;Exocrine glandular cells: 9.5;Fibroblasts: 17.8;Gastric mucus-secreting cells: 8.3;Proximal enterocytes: 20.0"	"Low region specificity"	"Detected in all"			0.17	0.6	0.0	0.6	0.5	1.8	0.0	0.3	0.3
ACLY	"ATP citrate lyase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.12	11.8	23.1	10.5	14.1	16.1	10.8	12.7	38.6
ACMSD	"Aminocarboxymuconate semialdehyde decarboxylase"	"Evidence at protein level"	"Group enriched"	"Detected in some"	21	"kidney: 135.9;liver: 157.5"	"Group enriched"	"Detected in some"	4	"Hepatocytes: 130.4;Proximal tubular cells: 288.7"	"Low region specificity"	"Detected in many"			0.33	0.3	0.0	8.6	7.0	0.9	2.4	1.8	0.0
ACO1	"Aconitase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 130.5"	"Cell type enhanced"	"Detected in all"		"Hepatocytes: 174.3;Proximal tubular cells: 144.7"	"Low region specificity"	"Detected in all"			0.08	41.5	3.7	23.7	44.6	19.7	20.8	22.4	12.7
ACO2	"Aconitase 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 549.2;skeletal muscle: 637.1;tongue: 669.0"	"Cell type enhanced"	"Detected in all"		"Proximal enterocytes: 385.7"	"Low region specificity"	"Detected in all"			0.06	43.0	44.0	27.8	32.6	7.2	11.3	19.5	40.1
ACOD1	"Aconitate decarboxylase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"lymphoid tissue: 1.4"	"Group enriched"	"Detected in some"	6	"Distal tubular cells: 3.1;Macrophages: 5.7;monocytes: 6.7"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
ACOT1	"Acyl-CoA thioesterase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 43.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 10.2;Excitatory neurons: 13.3;Inhibitory neurons: 11.5;Oligodendrocyte precursor cells: 8.0;Oligodendrocytes: 14.0;Proximal tubular cells: 4.9"	"Low region specificity"	"Detected in all"			0.14	10.2	0.0	13.3	11.5	3.6	8.0	14.0	0.2
ACOT11	"Acyl-CoA thioesterase 11"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 33.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 127.9;Distal enterocytes: 67.0;Late spermatids: 151.8;Proximal enterocytes: 95.3;Skeletal myocytes: 87.8"	"Low region specificity"	"Detected in all"			0.26	127.9	0.0	11.3	5.7	9.8	18.4	3.6	2.6
ACOT12	"Acyl-CoA thioesterase 12"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	37	"liver: 97.6"	"Cell type enriched"	"Detected in some"	10	"Hepatocytes: 41.8"	"Low region specificity"	"Detected in many"			0.38	0.0	0.0	0.7	1.1	0.0	0.0	0.3	0.0
ACOT13	"Acyl-CoA thioesterase 13"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 29.7"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 815.0;Hepatocytes: 292.3;Late spermatids: 298.1;Proximal tubular cells: 487.8"	"Low region specificity"	"Detected in all"			0.05	18.6	13.5	11.7	13.7	13.4	14.6	17.5	11.5
ACOT2	"Acyl-CoA thioesterase 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 35.0;Hepatocytes: 28.6;Proximal tubular cells: 47.7"	"Low region specificity"	"Detected in all"			0.11	3.1	0.4	2.8	3.0	0.9	2.8	1.6	0.7
ACOT7	"Acyl-CoA thioesterase 7"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 141.6"	"Cell type enhanced"	"Detected in many"		"granulocytes: 178.0;Late spermatids: 160.2;Proximal enterocytes: 177.8;Proximal tubular cells: 237.7"	"Low region specificity"	"Detected in all"			0.15	9.0	13.7	37.3	37.2	5.4	21.2	19.5	16.6
ACOT8	"Acyl-CoA thioesterase 8"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 104.5;Late spermatids: 90.9;Proximal enterocytes: 103.8"	"Low region specificity"	"Detected in all"			0.04	5.6	8.2	11.8	11.5	3.6	4.7	8.9	14.8
ACOT9	"Acyl-CoA thioesterase 9"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Langerhans cells: 122.4;monocytes: 206.6"	"Low region specificity"	"Detected in all"			0.08	11.5	18.7	5.9	8.3	12.5	4.2	2.9	56.4
ACOX1	"Acyl-CoA oxidase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 117.5"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 156.1;Hepatocytes: 249.6;Proximal enterocytes: 212.9"	"Low region specificity"	"Detected in all"			0.05	23.8	15.5	17.2	18.0	14.3	20.8	17.0	28.8
ACOX2	"Acyl-CoA oxidase 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"liver: 171.9"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 92.5;Proximal enterocytes: 29.6;Proximal tubular cells: 40.4"	"Region enriched"	"Detected in all"	5	"choroid plexus: 30.9"	0.50	10.5	0.0	0.5	0.6	0.9	0.5	0.0	1.7
ACOX3	"Acyl-CoA oxidase 3, pristanoyl"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 39.1;Syncytiotrophoblasts: 88.4"	"Low region specificity"	"Detected in all"			0.06	13.9	12.9	12.8	13.6	6.3	11.8	13.5	2.2
ACOXL	"Acyl-CoA oxidase like"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 7.0;lung: 8.9;urinary bladder: 4.5"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 33.0;Granulosa cells: 15.7;Late spermatids: 9.3;Plasma cells: 20.1"	"Low region specificity"	"Detected in all"			0.08	0.0	0.0	2.1	2.0	0.0	0.9	1.2	0.7
ACP1	"Acid phosphatase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"Early spermatids: 628.7;Late spermatids: 2305.4"	"Low region specificity"	"Detected in all"			0.13	8.7	86.8	19.7	20.1	16.1	18.4	24.2	39.0
ACP5	"Acid phosphatase 5, tartrate resistant"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lung: 159.9"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 391.8;Macrophages: 293.4;Proximal tubular cells: 109.7"	"Region enhanced"	"Detected in many"		"thalamus: 27.0"	0.68	0.0	30.2	0.0	0.0	0.9	0.0	0.1	8.2
ACRBP	"Acrosin binding protein"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	20	"testis: 275.6"	"Group enriched"	"Detected in many"	68	"Early spermatids: 1140.3;Late spermatids: 787.6;Spermatocytes: 310.3"	"Low region specificity"	"Detected in all"			0.30	0.6	2.6	0.2	0.3	0.9	0.0	0.4	2.1
ACSBG1	"Acyl-CoA synthetase bubblegum family member 1"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 39.3;skin 1: 13.9"	"Cell type enriched"	"Detected in some"	4	"Astrocytes: 149.9"	"Low region specificity"	"Detected in all"			0.13	149.9	0.4	0.7	0.9	2.7	7.1	25.0	10.5
ACSBG2	"Acyl-CoA synthetase bubblegum family member 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	226	"testis: 125.5"	"Cell type enriched"	"Detected in some"	4	"Late spermatids: 1739.0"	"Low region specificity"	"Detected in many"			0.40	2.2	0.0	2.0	2.6	1.8	1.4	2.9	0.0
ACSF2	"Acyl-CoA synthetase family member 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 137.1"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 83.1;Distal enterocytes: 60.8;Proximal enterocytes: 62.6;Proximal tubular cells: 105.7;Syncytiotrophoblasts: 70.5"	"Low region specificity"	"Detected in all"			0.09	25.7	2.4	0.3	0.3	17.0	3.3	0.4	12.6
ACSF3	"Acyl-CoA synthetase family member 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 55.4"	"Low region specificity"	"Detected in all"			0.07	9.0	15.3	9.8	9.1	13.4	8.5	10.4	6.7
ACSL1	"Acyl-CoA synthetase long chain family member 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 699.7;liver: 1108.8;skeletal muscle: 705.7"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 246.9;Hepatocytes: 1001.0;Late spermatids: 526.5;monocytes: 519.5"	"Low region specificity"	"Detected in all"			0.11	6.2	69.8	14.7	21.9	6.3	8.0	83.6	32.1
ACSL3	"Acyl-CoA synthetase long chain family member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 166.7"	"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	104.7	129.0	88.0	119.0	66.2	140.1	111.8	57.1
